ID de respuesta;Fecha;Hora;A1. Edad ;A2. Identidad de género;A2. Identidad de género  [Otro];A3. Nivel Estudio;A4. Nacionalidad y residencia;A4o. Nacionalidad y residencia [Otro];A5. Provincia de residencia ;A5a. País Extranjero;A5b. Provincia/estado Extranjero;A6. Ámbito Actividad;A6o. Ámbito Actividad [Otro];A7. Rol Principal;A7o. Rol Principal [Otro];A8. Rol Secundario;A8o. Rol Secundario [Otro];A9. Situación Laboral;A10. Años Experiencia
120;15-02-2026;1:25:14;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Autora integral;;Sin actividad remunerada en el sector;2-5 años
121;15-02-2026;9:24:26;de 45 a 54;Mujer;;Formación Profesional de Grado Medio (Ciclos Formativos de Grado Medio, FP I, Oficialía Industrial);Nacionalidad española y residencia en España.;;Badajoz;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Guionista;;Ninguno;;Sin actividad remunerada en el sector;6-10 años
124;15-02-2026;11:16:34;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Islas Baleares;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Editora / Responsable editorial;;Asalariada con contrato indefinido;6-10 años
125;15-02-2026;11:54:42;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Sevilla;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Rotulista;;Divulgadora / Crítica;;Autónoma con clientes habituales;6-10 años
126;15-02-2026;11:43:31;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Traductora;;Otro;Profesora;Freelance / Por proyectos puntuales;11-15 años
130;15-02-2026;13:45:05;de 25 a 34;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Madrid;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Maquetista;;Rotulista;;Autónoma con clientes habituales;11-15 años
131;15-02-2026;13:19:36;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Pontevedra;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Ninguno;;Asalariada con contrato indefinido;11-15 años
134;15-02-2026;17:15:29;de 45 a 54;Mujer;;Formación Profesional de Grado Medio (Ciclos Formativos de Grado Medio, FP I, Oficialía Industrial);Nacionalidad española y residencia en España.;;Castellón;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Editora / Responsable editorial;;Autónoma con clientes habituales;Más de 15 años
135;15-02-2026;20:00:58;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Autora integral;;Sin actividad remunerada en el sector;Menos de 2 años
136;15-02-2026;21:01:41;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Autora integral;;Dibujante / Ilustradora;;Freelance / Por proyectos puntuales;2-5 años
137;15-02-2026;21:20:11;de 35 a 44;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Otro;tatuadora;Autónoma con clientes habituales;Más de 15 años
138;15-02-2026;21:19:55;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Santa Cruz de Tenerife;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Otro;Reseñista;Ninguno;;Sin actividad remunerada en el sector;Menos de 2 años
139;15-02-2026;21:40:31;de 35 a 44;Mujer;;Formación Profesional de Grado Medio (Ciclos Formativos de Grado Medio, FP I, Oficialía Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Autora integral;;Autónoma con clientes habituales;11-15 años
140;15-02-2026;21:43:53;de 65 a 74;Persona no binaria;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Autora integral;;Freelance / Por proyectos puntuales;Más de 15 años
141;15-02-2026;23:33:26;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Jaén;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Otro;Investigación ;Divulgadora / Crítica;;Asalariada con contrato temporal;6-10 años
144;16-02-2026;2:12:22;de 25 a 34;Persona no binaria;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Málaga;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Diseñadora gráfica;;Sin actividad remunerada en el sector;6-10 años
149;16-02-2026;10:22:20;de 25 a 34;Persona no binaria;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Gerona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Diseñadora gráfica;;Dibujante / Ilustradora;;Autónoma con clientes habituales;6-10 años
150;16-02-2026;10:38:46;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Jaén;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Autora integral;;Ninguno;;Autónoma con clientes habituales;6-10 años
154;16-02-2026;11:11:22;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Salamanca;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Otro;Profesora investigadora;Ninguno;;Asalariada con contrato temporal;2-5 años
155;16-02-2026;11:23:09;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Cádiz;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Traductora;;Ninguno;;Autónoma con clientes habituales;11-15 años
156;16-02-2026;11:28:11;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Otro;Relatora gráfica ;Dibujante / Ilustradora;;Freelance / Por proyectos puntuales;11-15 años
161;16-02-2026;13:19:28;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Diseñadora gráfica;;Freelance / Por proyectos puntuales;6-10 años
166;16-02-2026;13:43:43;de 25 a 34;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Valencia;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Autora integral;;Autónoma con clientes habituales;6-10 años
167;16-02-2026;14:17:50;de 35 a 44;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Islas Baleares;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Divulgadora / Crítica;;Autónoma con clientes habituales;2-5 años
169;16-02-2026;15:52:16;de 18 a 24;Persona no binaria;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Zaragoza;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Diseñadora gráfica;;Sin actividad remunerada en el sector;2-5 años
170;16-02-2026;16:05:09;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Otro;tallerista;Freelance / Por proyectos puntuales;6-10 años
171;16-02-2026;17:21:55;75 y más;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Divulgadora / Crítica;;Freelance / Por proyectos puntuales;Más de 15 años
181;16-02-2026;22:23:13;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Dibujante / Ilustradora;;Sin actividad remunerada en el sector;2-5 años
186;17-02-2026;1:52:19;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Residencia fuera de España con actividad profesional principal en el mercado español.;;;Cuba;Canarias;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Promotora / Comisaria o gestora cultural;;Guionista;;Freelance / Por proyectos puntuales;Más de 15 años
189;17-02-2026;11:23:16;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Autora integral;;Freelance / Por proyectos puntuales;2-5 años
192;17-02-2026;15:00:27;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Madrid;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Diseñadora gráfica;;Freelance / Por proyectos puntuales;2-5 años
193;17-02-2026;19:58:24;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Zaragoza;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Colorista;;Freelance / Por proyectos puntuales;Más de 15 años
198;17-02-2026;18:54:37;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;La Coruña;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Autora integral;;Freelance / Por proyectos puntuales;6-10 años
200;17-02-2026;19:55:59;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Granada;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Diseñadora gráfica;;Freelance / Por proyectos puntuales;Más de 15 años
202;18-02-2026;5:06:05;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Granada;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Colorista;;Freelance / Por proyectos puntuales;2-5 años
204;18-02-2026;20:50:04;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Sevilla;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Rotulista;;Autónoma con clientes habituales;6-10 años
206;18-02-2026;23:23:08;de 55 a 64;Mujer;;Bachillerato (Bachillerato LOGSE/LOE, BUP, COU, PREU);Nacionalidad española y residencia en España.;;Santa Cruz de Tenerife;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Diseñadora gráfica;;Maquetista;;Asalariada con contrato indefinido;11-15 años
210;19-02-2026;13:21:47;de 45 a 54;Mujer;;Secundaria (Título de la ESO, Graduado Escolar, Bachiller Elemental);Nacionalidad española y residencia en España.;;Alicante;;;Comercio y Distribución (Librerías, tiendas especializadas, ferias).;;Librera;;Librera;;Asalariada con contrato indefinido;Más de 15 años
214;19-02-2026;14:31:37;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Granada;;;Comercio y Distribución (Librerías, tiendas especializadas, ferias).;;Librera;;Divulgadora / Crítica;;Autónoma con clientes habituales;6-10 años
217;19-02-2026;15:02:50;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Autora integral;;Guionista;;Autónoma con clientes habituales;11-15 años
219;19-02-2026;17:15:21;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Pontevedra;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Autora integral;;Dibujante / Ilustradora;;Autónoma con clientes habituales;6-10 años
220;19-02-2026;17:48:37;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Granada;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Otro;Correctora;Autónoma con clientes habituales;6-10 años
221;19-02-2026;17:56:23;de 45 a 54;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Alicante;;;Comercio y Distribución (Librerías, tiendas especializadas, ferias).;;Librera;;Ninguno;;Asalariada con contrato indefinido;11-15 años
223;19-02-2026;20:00:04;de 25 a 34;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Diseñadora gráfica;;Maquetista;;Asalariada con contrato indefinido;6-10 años
224;19-02-2026;19:55:52;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Dibujante / Ilustradora;;Asalariada con contrato indefinido;2-5 años
225;19-02-2026;20:53:50;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Librera;;Sin actividad remunerada en el sector;6-10 años
227;20-02-2026;9:58:28;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Otro;Comercial;Editora / Responsable editorial;;Asalariada con contrato indefinido;2-5 años
230;20-02-2026;11:19:48;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Otro;Producción ;Otro;Producción;Asalariada con contrato indefinido;2-5 años
231;20-02-2026;11:09:41;de 25 a 34;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Comercio y Distribución (Librerías, tiendas especializadas, ferias).;;Otro;Comercial / distribución / asistente editorial;Librera;;Asalariada con contrato indefinido;6-10 años
232;20-02-2026;10:52:53;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Redactora;;Asalariada con contrato indefinido;2-5 años
233;20-02-2026;11:58:36;de 65 a 74;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Cantabria;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Dibujante / Ilustradora;;Autónoma con clientes habituales;Más de 15 años
238;20-02-2026;12:25:54;de 45 a 54;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Dibujante / Ilustradora;;Sin actividad remunerada en el sector;Más de 15 años
240;20-02-2026;12:56:39;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Cáceres;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Guionista;;Promotora / Comisaria o gestora cultural;;Sin actividad remunerada en el sector;6-10 años
241;20-02-2026;12:41:51;de 35 a 44;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Diseñadora gráfica;;Autora integral;;Asalariada con contrato indefinido;6-10 años
